obj_label,relation,relation_name,sub_label,uuid
Syria,P276,located-in,Sinai and Palestine Campaign,bec54219-f046-4bfd-99ab-61a5ef53555d
Egypt,P276,located-in,Sinai and Palestine Campaign,c6194fb7-e5ca-4d0f-ae8d-8e405d2f32a2
Texas,P276,located-in,Space Shuttle Columbia disaster,13a3ec7a-a6fa-4ae4-ae11-743a07e14462
Louisiana,P276,located-in,Space Shuttle Columbia disaster,d3392b3c-b7a7-4035-b7a7-5a8fac9004e9
Warsaw,P276,located-in,Warsaw Uprising,54af0c8d-8050-4b7b-9e13-702dcf131ed1
Warsaw,P276,located-in,Warsaw Uprising,ee54c4ff-6b6f-46a7-bb15-f486d43cf5b4
Asia,P276,located-in,World War I,bf1afad3-2d04-4982-b679-cf2122579a6e
Europe,P276,located-in,World War I,3f56b04a-ca3a-48dd-bcb6-8f7591e4626c
Africa,P276,located-in,World War I,9719c2a1-a027-448a-95a7-aebacb9c85e8
Russia,P276,located-in,World War II,567ce59b-de16-42d5-ac10-615eeb07871f
Asia,P276,located-in,World War II,da5b5bc2-8e51-401e-a988-d69a0750174d
Africa,P276,located-in,World War II,7ca4d078-d697-48ef-b4f3-39eecc2cd13b
Europe,P276,located-in,World War II,53c73399-3aaf-427c-9219-bf17c6b8db59
Australia,P276,located-in,ice cream cone,3286ab87-607a-46af-9fe5-0abfc7063e97
Switzerland,P276,located-in,ice cream cone,fc519ca3-bacf-4f81-a17a-6ede661c8a1a
Austria,P276,located-in,ice cream cone,070d87d8-ab05-4526-a0e8-35deee985954
Canada,P276,located-in,ice cream cone,ff322059-d69e-42a3-9ef7-6f92f18b6502
Malaysia,P276,located-in,ice cream cone,3745fa25-9a73-4909-b11d-fe3b97d97b8c
Ireland,P276,located-in,ice cream cone,65db281f-6fc2-459f-a89a-8914692b8dfe
Boston,P159,headquarter-in,Boston Market,2fef52a9-158f-4562-92c2-15849a91f807
Golden,P159,headquarter-in,Boston Market,deafd994-1b49-4220-b20b-e1a7232efd9c
Berlin,P159,headquarter-in,Heilmann & Littmann,c27868ad-05b1-4b6b-835b-d11c1b1b12b2
Munich,P159,headquarter-in,Heilmann & Littmann,ecdf518e-9c50-45f9-8521-3248d653dfed
Muslim,P140,affiliated-with-religion,Albanians,304a3b50-5766-4906-8eed-be1a7fb5cdc4
Christian,P140,affiliated-with-religion,Albanians,764b7df3-07fa-4651-8747-fa71eb2665f7
Islam,P140,affiliated-with-religion,Arab,6d80e365-b29d-434b-9fcc-0243c2034cb7
Christianity,P140,affiliated-with-religion,Arab,ad04797e-8afb-4be2-a12d-842dc057f0c1
Christianity,P140,affiliated-with-religion,Malayali,9d7d22d8-adb6-4ab1-8321-5c9dab7d190b
Buddhism,P140,affiliated-with-religion,Malayali,c418ef08-ca0c-4268-a7c9-746c42a118ac
Judaism,P140,affiliated-with-religion,Sabbatai Zevi,c361963f-f8f6-4270-b3c9-e5fcc60fb67b
Islam,P140,affiliated-with-religion,Sabbatai Zevi,3ca7bc01-1a15-4b96-a56a-7aa34cdec294
Christianity,P140,affiliated-with-religion,Skanderbeg,5334fc4e-f429-4dc3-b511-6458342a6dd2
Islam,P140,affiliated-with-religion,Skanderbeg,56656c7c-e2da-46e5-aea6-cd6f14531cce
BBC,P136,plays-music,Rising Damp,8e051f47-dd1b-44f4-8af1-95a7c0d86786
sitcom,P136,plays-music,Rising Damp,965dff3c-a765-46ce-9600-59fae7ffa8e5
Belgium,P495,created-in,Le Concert,ba0ec559-e991-4887-a419-50c1e3c397d0
France,P495,created-in,Le Concert,475d98a0-7dcf-4b98-8e2c-9c08c6b089f6
India,P17,located-in,Asian Highway Network,a99cd6d6-e1de-4563-a310-1fe78bb47660
Turkey,P17,located-in,Asian Highway Network,21f7f048-97d7-4ce7-aa7d-b9b1d5b9022d
Europe,P361,part-of,Germany,095046c7-4475-4159-b96d-996d29bf0d94
NATO,P361,part-of,Germany,bc06c075-6738-499e-8286-d9e4be5ea475
Hebrew,P361,part-of,Kavanah,9c883f16-ad59-4cf8-b17f-c1c5e69af86d
Judaism,P361,part-of,Kavanah,a81f506a-a943-49a4-bebb-70610f4c23fe
Americas,P361,part-of,North America,a82cc74c-863e-45a3-aba8-daee12f13235
Earth,P361,part-of,North America,c85d4462-d4c4-4f11-8bdb-9e6d8d4d3b7a
sword,P361,part-of,Ricasso,b773c755-3071-4d0a-8561-7373759b06d6
blade,P361,part-of,Ricasso,91c53193-034f-45d3-8519-fafec84bddad
Americas,P361,part-of,South America,77879f0f-a331-4c9b-af65-243090bf1c9f
Earth,P361,part-of,South America,87a53d11-6af4-44ea-8b43-946544eca9c7
medicine,P361,part-of,anatomy,5bbba878-959c-4e3f-836f-2e4ae0ed870d
biology,P361,part-of,anatomy,47b40edf-aab6-4a66-9286-fd257c946e3e
chemistry,P361,part-of,biochemistry,dfd65f5d-2255-4bc4-8498-2ef419f17d18
biology,P361,part-of,biochemistry,0ea359bc-ab0b-46cd-b992-44f760857959
biology,P361,part-of,biogeography,1b18b3d4-f056-4791-bccd-4da9614734d0
geography,P361,part-of,biogeography,a05e944b-f1b1-4359-be60-eaf359f55f26
physics,P361,part-of,biophysics,c3f459b4-9e07-48ca-98e6-152bb380e191
biology,P361,part-of,biophysics,009dbbd7-8bf9-48b2-9c21-2ffebdf5ed81
rifle,P361,part-of,breechblock,b030c263-5984-45ca-b9d3-1aa295635c92
pistol,P361,part-of,breechblock,e9aa9063-e047-4af4-9a72-e786f48e4054
psychology,P361,part-of,diagnostic procedure,0fed1f96-7e78-471a-838b-71883b686267
medicine,P361,part-of,diagnostic procedure,66b02bf1-2f52-496b-b051-c542b4400637
biology,P361,part-of,embryology,cfa3461d-e248-402e-97e5-ab9d595983b2
medicine,P361,part-of,embryology,02e149bc-6bcd-44f2-bcb2-0a74f3c7ffcd
spacecraft,P361,part-of,escape velocity,5b7972bf-ecd4-483c-9470-0f0983fde1a7
gravity,P361,part-of,escape velocity,799234f5-bd50-4ad5-82f4-ed887d5ca8c4
pistol,P361,part-of,firing pin,db25d582-abfe-4899-b31f-5b2e26afbc9b
rifle,P361,part-of,firing pin,f3067a38-5863-4b11-ab52-abb0843d1e98
nursing,P361,part-of,gerontology,7a352ae8-daa5-4c2b-a0a0-fbe5f9ff415f
sociology,P361,part-of,gerontology,2c494cdb-b809-412e-b3d3-f8f63ede2446
chemistry,P361,part-of,limnology,9b4df1c0-4593-4ab8-bddb-bcec7ccd7b41
biology,P361,part-of,limnology,bc2056f0-7da5-4c08-a9d4-323514d4a592
physics,P361,part-of,limnology,f222e226-9801-48f7-a96d-35adc8206eea
ecology,P361,part-of,limnology,95ed6b30-6848-4265-8338-90dfc3047cea
physics,P361,part-of,mathematical physics,8e92d0a2-b64e-43d6-abf2-3b069b45cbf0
mathematics,P361,part-of,mathematical physics,b4095536-c128-4ea9-a7aa-4f415300f94f
medicine,P361,part-of,medical physics,c0ec16d0-db5d-4744-abf6-05c75a565f49
physics,P361,part-of,medical physics,6244b349-677d-4c39-85af-61ef2737dce3
physics,P361,part-of,mineralogy,eb795c59-642f-426c-889c-6f4d342f3450
chemistry,P361,part-of,mineralogy,42b85dd1-f9c3-443c-88a6-24b0b1de608b
psychology,P361,part-of,neuroscience,00b43df7-bc4a-49d1-b599-a9dfc0d5eb6b
medicine,P361,part-of,neuroscience,4b2323b0-3bb5-44ba-b976-16332d353fe1
biology,P361,part-of,neuroscience,56af894c-0174-4c03-9965-e11191888f14
biology,P361,part-of,oenology,b9311fd8-d6d3-4d18-98a8-4f6c57426391
chemistry,P361,part-of,oenology,f79e51b6-608a-451d-a341-78996898cc0f
sociology,P361,part-of,organizational theory,c78ef131-fcb5-4c79-b90c-b63f03d38d0f
psychology,P361,part-of,organizational theory,fe7b745e-6e30-44bf-9dac-3b5a0c6dabb0
sociology,P361,part-of,participant observation,e4fc46c0-943b-4748-9246-1f53f3945ab6
anthropology,P361,part-of,participant observation,9df66c9c-a9ec-4531-b80f-127dad43d362
medicine,P361,part-of,pharmacy,bb0dc78f-ba5b-4a9b-b892-42707206d6e4
biology,P361,part-of,pharmacy,98179299-1681-4419-a43c-80b79468bc66
chemistry,P361,part-of,pharmacy,50e7c1a6-ad30-466c-b976-afc8ee6f54fb
philosophy,P361,part-of,philosophical anthropology,bf5c097c-e784-4862-bc3b-d065811cd644
anthropology,P361,part-of,philosophical anthropology,a8ba0911-6c18-4bc1-b36f-d4b4921e924a
cartridge,P361,part-of,propellant,edb5bda4-03c4-4ab5-bce6-2359f8f32dbb
shell,P361,part-of,propellant,8b73fd6e-488b-4e99-9d80-896edee0e15f
therapy,P361,part-of,psychotherapy,e997ec90-49cd-407c-b1ef-feda99904427
psychology,P361,part-of,psychotherapy,7f36c3f1-a282-4af7-b509-14b85c6bb62d
sociology,P361,part-of,social psychology,0c2be786-51a1-4d5b-ae84-e8d75997691a
psychology,P361,part-of,social psychology,04469a93-3ed4-45fe-af4d-d8d11ade8572
biology,P361,part-of,toxicology,532cc771-264c-4c36-a1ec-0d154f8247a7
chemistry,P361,part-of,toxicology,13a6a213-01a7-40dd-acf4-d7c923e7ef01
physics,P361,part-of,tribology,04618ef5-da64-44c4-a662-84fa0b4d4190
chemistry,P361,part-of,tribology,ac0a9f76-90ad-425a-9220-bc175dc6baa9
Damascus,P36,capital-of,Abbasid Caliphate,3dfe628c-cfc7-42b7-b514-4d1c69264327
Baghdad,P36,capital-of,Abbasid Caliphate,9c0d9389-8c0f-44ed-a983-b63f809c6dbb
Vienna,P36,capital-of,Austria-Hungary,37f0a960-f344-498a-8c09-0a8226f86734
Budapest,P36,capital-of,Austria-Hungary,9c8149a0-6ed4-4e8e-83a7-e5d171d03743
Montgomery,P36,capital-of,Confederate States of America,20fbf8a0-ceb0-448b-be84-6b08cd065fbf
Richmond,P36,capital-of,Confederate States of America,c6fa96d5-1bc7-416d-8c5d-7a42d6e8dc29
Winchester,P36,capital-of,England,dd496af6-2fc1-4697-9c93-f335f9a6f665
Westminster,P36,capital-of,England,3cf98f50-f98b-4009-8aba-cec93a5d14f7
London,P36,capital-of,England,ffe7fc87-597a-432b-b8a0-d393eb046dad
London,P36,capital-of,England,381b9c02-419a-434f-91ef-bb973b5c485c
Florence,P36,capital-of,Kingdom of Italy,6e0942fa-96c8-4a07-b72e-83519b16db11
Rome,P36,capital-of,Kingdom of Italy,34902401-c1c4-4b04-833a-688dede2ea15
Constantinople,P36,capital-of,Roman Empire,b3deac49-9a98-4ca2-a576-9bdcbddcbc4a
Rome,P36,capital-of,Roman Empire,3f21d7e7-c437-450b-bf74-5836afb3e9eb
Brunswick,P264,represented-by-music-label,Buddy Holly,c38bbc44-07b6-429c-8738-fae528ea70a4
Coral,P264,represented-by-music-label,Buddy Holly,abac6b68-143e-46c8-b9d1-d8cf57d900f3
French,P407,written-in-language,Daniel,01c4d271-39a3-4e3a-b656-aae39ab3bcbe
Russian,P407,written-in-language,Daniel,f262096d-fb44-4fa7-8b40-e8122d36b024
Hebrew,P407,written-in-language,Daniel,ae25640c-6284-4939-8d10-a61fe2036189
English,P407,written-in-language,FitzGerald dynasty,3dc6dea7-33cc-454c-939d-287d1a9b4162
Irish,P407,written-in-language,FitzGerald dynasty,440dbb49-6b5a-4da2-b3eb-1f20cfb1294a
Italian,P407,written-in-language,Il sole nella pioggia,5df6498b-1131-41e5-beef-f85d8c5a4e58
French,P407,written-in-language,Il sole nella pioggia,47ab8856-89b3-40d9-9c5e-d578804a797c
Italian,P407,written-in-language,Le cose che vivi,352a213a-8945-411e-a191-e64e658aa79c
Spanish,P407,written-in-language,Le cose che vivi,c3fec408-1aef-4329-9827-fddc15df126d
Finnish,P407,written-in-language,LibreOffice,bc9533de-ccba-4587-816c-dfeca4d232fa
English,P407,written-in-language,LibreOffice,508d4544-6a1f-4327-b36b-40f6e7a7cc63
Russian,P407,written-in-language,Odnoklassniki,302486f4-b3af-41bd-963e-fefb67d4c4c3
English,P407,written-in-language,Odnoklassniki,49b9d1cc-488d-4b1b-88d2-189d0f3b17fa
English,P407,written-in-language,Ola Kala,1074143e-59dd-4e5c-b51e-2f07c8fd868c
Greek,P407,written-in-language,Ola Kala,f3c8de36-8ebd-4703-b167-ff0ed3fb15bf
Spanish,P407,written-in-language,Pinterest,6f2a850c-c30a-4886-a937-09610219dc56
French,P407,written-in-language,Pinterest,fd16fe6e-0b10-4019-9279-be7c9eb02514
English,P407,written-in-language,Pinterest,077be58a-e543-40ea-b519-e02ef4adb437
Italian,P407,written-in-language,Pinterest,df623c8d-2635-43ff-b09e-8775e414329e
Finnish,P407,written-in-language,Pinterest,0ea659ff-4513-4133-8629-f85d9a72ab94
English,P407,written-in-language,Prontoacorrere,32d42b09-7cdd-4049-93d5-a56eee84ec09
Italian,P407,written-in-language,Prontoacorrere,62257e0d-751f-4e16-a6eb-0b8bc67c0f8c
Spanish,P407,written-in-language,Radio France Internationale,0eee0764-f7ac-477f-bff9-10ee0db4878e
Vietnamese,P407,written-in-language,Radio France Internationale,3ec6b1f9-e160-4dc5-b9ad-0339511345bc
Russian,P407,written-in-language,Radio France Internationale,992ea9bb-0c05-42d9-9d91-ad65bf3ad83b
Italian,P407,written-in-language,Resta in ascolto,925dabd0-80ee-48db-8a53-e7022f477625
Spanish,P407,written-in-language,Resta in ascolto,a49130dc-88b9-4dcc-b99e-4e497d019c1e
French,P407,written-in-language,Snow on the Sahara,cefad97d-e730-43b2-af86-daa9a38d572e
English,P407,written-in-language,Snow on the Sahara,ef640c61-b576-4dfe-ad05-c2341f0bc96f
Russian,P407,written-in-language,Ukrainian News Agency,8bf636e5-9460-4faf-a8c4-9be292a33873
Ukrainian,P407,written-in-language,Ukrainian News Agency,96c8079e-3c13-4e22-99b2-2f10eec5c956
Athena,P138,named-after,Athens,63661f37-3bba-4bb2-bd7a-fe6efd05a0db
Athens,P138,named-after,Athens,70e77744-72d7-4ca8-8325-a156509847e9
Athens,P138,named-after,Athens,4d581bc2-0562-43ea-94f5-bac7413eb710
Brazil,P138,named-after,BRIC,27477ac1-df6b-4c96-82e9-ff227f9e51cd
Russia,P138,named-after,BRIC,d7bb9d2e-2847-4146-b8cf-2e183170915d
India,P138,named-after,BRIC,fa609644-afbc-43ba-b5f3-dccb00c00993
Copenhagen,P138,named-after,COBRA,53b86376-aea6-4eb1-b6a9-f3920491cc92
Amsterdam,P138,named-after,COBRA,08bf0ec9-3fe7-4833-accd-725f32ddba00
Virginia,P138,named-after,Delmarva Peninsula,62badf25-0424-47dc-8228-ecb411b44b7f
Delaware,P138,named-after,Delmarva Peninsula,9b5686a0-3843-428d-af06-428f566dcfa9
Maryland,P138,named-after,Delmarva Peninsula,3a849e90-d900-4e67-afc0-dbb63c486a20
England,P138,named-after,English Channel,3930c6c0-5639-45b2-8387-9c85d5c8077a
Brittany,P138,named-after,English Channel,578f6f5a-c7cd-48e0-ac35-3b30b004a083
Maryland,P138,named-after,Pen Mar,efaa016a-9d40-4128-aa67-29be5ddb607a
Pennsylvania,P138,named-after,Pen Mar,3f471e90-4669-4c6b-a5c7-c8383d0621ee
Andrew,P138,named-after,Peterborough Cathedral,c72c1d2f-6c02-4c09-8d4f-b3854b1fa6b7
Peter,P138,named-after,Peterborough Cathedral,597775db-cf29-4db0-9ef5-12091140696f
Vancouver,P138,named-after,Seacouver,9c4cff4e-165c-4067-b724-813e054a34a3
Seattle,P138,named-after,Seacouver,1e76b206-e56e-46d0-a572-1388de4c2301
France,P138,named-after,Three Countries Bridge,0e094fb1-a872-4c97-a470-ce50c81ac933
Switzerland,P138,named-after,Three Countries Bridge,b034b5ec-e894-4e0b-99ec-1cd8c8dd02d0
Virginia,P138,named-after,USS Virginia,5e8df571-b8c4-4d80-8707-b59e90ba32b9
Virginia,P138,named-after,USS Virginia,9103eec7-94c6-45e8-a99d-c5efd337cf15
Africa,P30,located-in-continent,British Empire,9c34fc2b-c8dc-4006-bd85-e72b0931440a
Americas,P30,located-in-continent,British Empire,7e7ac9a3-fe20-4338-be3d-922493efe738
Africa,P30,located-in-continent,Middle East,80408eb5-74a2-41e6-9abe-23b4b2c7ba4c
Europe,P30,located-in-continent,Middle East,68978205-85bc-4ec0-b9e1-e693c7e02b1c
BMW,P176,produced-by,BMW 3 Series,d91a4b06-d168-4035-9150-2827c38cfe36
BMW,P176,produced-by,BMW 3 Series,7e6bc075-d292-4ec0-9bc7-c380d7662950
BMW,P176,produced-by,BMW 3 Series,816c1272-653a-4702-8134-e2930f8eb4a3
BMW,P176,produced-by,BMW 3 Series,28a9c9fa-932c-4acb-bd48-b8d3d755568e
BMW,P176,produced-by,BMW 5 Series,a1de4836-227f-4bd1-8c85-291c51969a95
BMW,P176,produced-by,BMW 5 Series,a26d6952-bbae-44f7-aaae-08a27e8175a3
BMW,P176,produced-by,BMW X5,d8370da2-7174-4be0-8b21-a2c791d989ef
BMW,P176,produced-by,BMW X5,5ae1a59c-f5fe-43b1-b0b0-247f63281ea0
Fiat,P176,produced-by,Dino,a4c4e82f-42b7-4370-8a7d-57cae10d78a3
Ferrari,P176,produced-by,Dino,b3ba5ca6-0619-472a-8053-bcf4c98020fb
Dodge,P176,produced-by,Dodge Charger,977fa035-e979-44cf-b79a-1a2d5fe435cc
Dodge,P176,produced-by,Dodge Charger,99a2faeb-48d8-436f-92bd-65f99ab5abef
Dodge,P176,produced-by,Dodge Charger,09b8c6d7-2ca9-4736-b2ca-65980e3354ec
Fiat,P176,produced-by,Ferrari 250 GTO,d7587fa7-93f2-47f7-9b73-9c8b283bcdc5
Ferrari,P176,produced-by,Ferrari 250 GTO,2c6541e1-97e3-4aee-828d-ecf012a03f7b
Nissan,P176,produced-by,Nissan Bluebird,fc17b398-f55e-4f16-b3f4-7cc1de997888
Nissan,P176,produced-by,Nissan Bluebird,0f3ca949-23c5-4d20-857f-3430277fcf24
Sony,P176,produced-by,SNES-CD,75546066-9c07-40c3-89de-a6b6baba92a4
Nintendo,P176,produced-by,SNES-CD,3d2a2724-c5aa-47a0-95eb-c5321c3ed714
NBC,P449,originally-aired-on,Alfred Hitchcock Presents,4f9db489-5667-4c43-9810-e57f61d8ab30
CBS,P449,originally-aired-on,Alfred Hitchcock Presents,64b9c063-dbab-4fb0-9e43-5c1ff67caf45
NBC,P449,originally-aired-on,Alfred Hitchcock Presents,1e510088-f748-4972-b326-b0d4169402d0
CBS,P449,originally-aired-on,Down You Go,044e086f-26a6-4421-a6c7-a65710748ba1
NBC,P449,originally-aired-on,Down You Go,e1b4880e-7cc2-464e-9879-2982085f4ee9
NBC,P449,originally-aired-on,Gambit,f937db7c-018a-45e8-8cf0-b62bc82c4544
CBS,P449,originally-aired-on,Gambit,cf421677-f1c7-4014-be63-65c538b608fd
NBC,P449,originally-aired-on,Underdog,0e40459c-47ac-4842-9d51-1bf248d75479
CBS,P449,originally-aired-on,Underdog,ab9fd026-c25b-4a4b-a7f0-502bd7cdb361
homosexuality,P279,subclass-of,gay,2f14f76e-8250-4b53-a660-66faec86a306
LGBT,P279,subclass-of,gay,4c09f348-927e-4e02-8fe9-3a46abe21511
education,P279,subclass-of,philosophy of education,54d6be3a-fad7-49da-b4f6-74229d9ce9d1
philosophy,P279,subclass-of,philosophy of education,8f04f08d-cbaf-4d55-90d8-bdb1f36d217e
logic,P101,specializes-in,Alan Turing,7d58f005-5166-4af7-a2e0-c960de153441
mathematics,P101,specializes-in,Alan Turing,5a7f972a-5c54-49b6-90dd-caee65688443
philosophy,P101,specializes-in,Anaxagoras,0b4ba343-e8e2-468a-9b16-810b2d444d4c
astronomy,P101,specializes-in,Anaxagoras,0cc0eeb9-5831-4e7b-a837-eaac19e65abc
mathematics,P101,specializes-in,Antoine Augustin Cournot,74425208-fd08-4360-86e5-c16362c565c1
economics,P101,specializes-in,Antoine Augustin Cournot,51450864-d170-4226-946b-b922be967b27
physics,P101,specializes-in,Christiaan Huygens,1fa706ea-c4fa-4792-8e2c-0ab6b7d16a07
mathematics,P101,specializes-in,Christiaan Huygens,6f93f150-8e93-415d-9982-0c2754a97683
